,"Экономическая зона, район","Выбросы загрязняющих атмосферу веществ, отходящих от стационарных источников, млн т",Место района по степени загрязнённости атмосферного воздуха,"Сброс загрязненных сточных вод, млрд м3",Место района по степени загрязнённости водных ресурсов
0,Российская Федерация,20.0,0.0,23.0,0.0
1,"Западная зона (Европейская Россия), в том числе районы",12.0,0.0,18.0,0.0
2,Северный,2.7,4.0,1.3,8.0
3,Северо-Западный,0.4,11.0,1.9,6.0
4,Центральный,1.4,5.0,4.6,1.0
5,Волого-Вятский,0.5,9.0,1.0,10.0
6,Центрально-Черноземный,0.6,8.0,0.5,11.0
7,Поволжский,1.3,6.0,2.1,5.0
8,Северо-Кавказский,0.5,10.0,3.8,2.0
9,Уральский,4.6,1.0,2.7,3.0
10,Калининградская обл.,0.04,12.0,0.1,12.0
11,"Восточная зона (Азиатская Россия), в том числе районы:",8.0,0.0,5.0,0.0
12,Западно-Сибирский,3.4,3.0,1.5,7.0
13,Восточно-Сибирский,3.6,2.0,2.3,4.0
14,Дальневосточный,1.0,7.0,1.2,9.0
